GEOID,County,PM2.5,Ozone,drinkw,pest,toxr,dieselpm,Traffic,Lead,cleanup,groundw,hazard,impwater,solidw,pollutionb,Asthma,lowbirth,cardiod,Education,lingisol,Poverty,Unemployment,houseburd,tpop,ageu10pop,age1064pop,age65pop,phisp,pwhite,pblack,pnative,pasian,urbid
6019001100,Fresno,13.90634758,0.06,733.95,1,4859.094604,1.123,1037.095744,89.6,70.5,54.25,3.1,0,6,78.98,129.54,7.8,21.47,44.5,16,76,12.8,High,2780,18.71,72.55,8.74,74.03,2.52,19.78,0.07,0.97,1
6077000700,San Joaquin,11.88408494,0.046,389.85,63.13,519.6280009,0.538,856.395935,77.3,61.9,78.6,1.27,13,9.25,73.43,105.88,6.88,20.26,46.4,29.7,73.2,19.8,High,4680,12.41,77.26,10.32,66.92,8.14,8.35,0,14.94,1
6037204920,Los Angeles,12.25164028,0.048,787.94,0,3682.693278,0.781,2522.622269,92.56,38.75,20.5,11.62,7,4.85,77.67,76.1,7.11,20.87,52.2,17.1,62.6,6.4,Middle,2751,13.34,72.59,14.07,97.27,1.71,0.84,0,0,1
6019000700,Fresno,13.52093888,0.06,733.95,44.57,1630.342707,0.174,690.502159,68.39,16.5,9.5,2.36,0,5.75,67.85,139.45,10.65,22.68,41.4,15.7,65.7,15.7,High,3664,13.89,73.01,13.1,66.81,2.59,19.3,0.27,8.49,1
6019000200,Fresno,13.81895941,0.06,733.95,16.63,1975.207988,1.39,909.6508821,75.41,10.5,28.25,0.35,0,0,66.83,139.08,10.25,22.64,43.6,20,72.7,13.7,High,2689,18.59,71.18,10.23,73.67,6.14,11.86,0.11,8.07,1
6019001000,Fresno,13.55379682,0.06,790.59,1321.97,3178.098409,0.097,243.2723063,65.01,15.45,20,0.56,0,5,66.35,139.35,8.76,22.68,44.2,21.7,79.5,15.4,High,4255,21.95,71.96,6.09,60.75,1.74,21.83,0.31,14.01,1
6037543202,Los Angeles,12.21666021,0.042,459.2,1.66,14883.20671,0.376,1575.35455,91.35,22.5,63.5,1.785,7,1.7,73.27,114.33,6.32,18.18,43.3,9.7,56.8,12.6,High,5124,18.6,72.48,8.92,78.14,1.09,15.67,0,4.84,0
6019001202,Fresno,13.96606425,0.061,788.31,8.99,25576.25792,0.203,438.594055,60.36,31.15,48.55,1.205,0,7,71.65,89.27,6.83,14.13,52.4,22.4,72.2,16.3,High,4561,20.87,70.42,8.7,79.92,1.45,5.11,0,13.53,0
6077000100,San Joaquin,11.87572931,0.046,389.85,16.09,369.7826741,0.52,287.4559495,79.35,54,75.85,1.32,2,9,64.15,238.03,9.72,20.57,48.6,24,78.8,14.6,High,3688,16.11,68.66,15.24,54.18,13.67,19.36,0.38,9.41,1
6037203300,Los Angeles,12.57687534,0.049,798.87,0,1894.993347,1.053,2125.866346,74.68,16.8,47.55,2.09,13,0.5,74.46,65.53,6.16,13.45,52.1,28.4,71.7,11.9,High,2000,7.7,84.5,7.8,75.55,2.85,10.45,0,6.95,1
6037291220,Los Angeles,12.0660607,0.041,805.57,66.5,19774.78971,0.637,3455.239256,66.07,16,37.55,7.28,16,4.2,81.9,64.77,7.77,12.99,31.6,20.1,51.5,4.5,High,3640,12.77,73.16,14.07,69.34,3.98,8.43,0,16.32,1
6037433501,Los Angeles,12.00416809,0.055,821.08,0.01,2234.535319,0.551,905.045862,91.11,19.6,198.65,0.71,4,3,72.75,65.92,5.6,16.69,52.2,31.3,61.1,12.4,High,1949,10.98,75.42,13.6,93.89,0.72,0,0,5.39,0
6037243100,Los Angeles,12.0902374,0.044,787.94,0,8878.613322,0.805,2484.965675,75.63,16.9,13.15,1.22,0,0.2,63.9,129.2,9.48,26.48,44.8,12.4,73.5,15.6,High,6772,22.65,70.85,6.5,67.22,1.86,30.38,0,0.22,1
6037227010,Los Angeles,12.09940492,0.046,787.94,0,2762.896647,0.565,832.5616204,95.59,53.15,4.55,3.065,7,7.25,70.21,68.48,5.57,21.83,63.2,28.3,68.6,8.4,High,5705,19.16,75.23,5.61,92.92,0.56,5.33,1.19,0,1
6037226001,Los Angeles,12.15802236,0.046,787.94,0,2607.823324,0.629,2429.418553,97.66,49.05,8.6,4.435,7,9.5,75.76,72.02,5.24,13.67,44.6,28.1,71.9,9.6,High,2615,24.21,70.9,4.89,83.71,0.38,15.56,0.34,0,1
6037433101,Los Angeles,11.94103408,0.056,842.55,0.6,2118.801005,0.355,2834.65939,78.02,23.4,60.8,0.42,3,2.5,74.66,60.57,7.07,15.27,42.7,35.6,43.5,8.1,High,2464,7.47,69.89,22.65,48.3,2.44,0.16,0.16,48.42,0
